      S          PHI         IOTA        SHEAR        VP         WELL        ITOR       ITOR'       PRES       PRES'
  4.8000E-01  1.8921E-02  1.0614E+00  1.4093E-01  8.9521E+00  1.2669E+00 -2.7504E-17  7.6255E-15  0.0000E+00  0.0000E+00
  4.8500E-01  1.9118E-02  1.0617E+00  1.4235E-01  8.9519E+00  1.2522E+00  3.9341E-17  6.8149E-14  0.0000E+00  0.0000E+00
  4.9000E-01  1.9315E-02  1.0619E+00  1.4379E-01  8.9516E+00  1.2374E+00  6.9825E-17 -3.3593E-14  0.0000E+00  0.0000E+00
  4.9500E-01  1.9512E-02  1.0622E+00  1.4520E-01  8.9514E+00  1.2226E+00  1.8904E-17 -2.4133E-14  0.0000E+00  0.0000E+00
  5.0000E-01  1.9709E-02  1.0624E+00  1.4669E-01  8.9511E+00  1.2075E+00  4.8963E-17  5.8211E-14  0.0000E+00  0.0000E+00
  5.0500E-01  1.9906E-02  1.0627E+00  1.4809E-01  8.9509E+00  1.1926E+00  1.4221E-17 -9.7600E-14  0.0000E+00  0.0000E+00
  5.1000E-01  2.0103E-02  1.0630E+00  1.4947E-01  8.9507E+00  1.1779E+00 -5.0666E-17  2.4039E-14  0.0000E+00  0.0000E+00
  5.1500E-01  2.0300E-02  1.0632E+00  1.5083E-01  8.9504E+00  1.1629E+00 -6.0459E-18  2.6549E-14  0.0000E+00  0.0000E+00
  5.2000E-01  2.0497E-02  1.0635E+00  1.5222E-01  8.9502E+00  1.1478E+00  8.6856E-18 -9.8477E-15  0.0000E+00  0.0000E+00
  5.2500E-01  2.0694E-02  1.0638E+00  1.5352E-01  8.9500E+00  1.1330E+00 -5.6371E-17 -6.3915E-14  0.0000E+00  0.0000E+00
  5.3000E-01  2.0892E-02  1.0640E+00  1.5485E-01  8.9498E+00  1.1181E+00 -8.0640E-17  3.6400E-14  0.0000E+00  0.0000E+00
  5.3500E-01  2.1089E-02  1.0643E+00  1.5616E-01  8.9495E+00  1.1031E+00 -6.0118E-17 -1.3131E-14  0.0000E+00  0.0000E+00
  5.4000E-01  2.1286E-02  1.0646E+00  1.5751E-01  8.9493E+00  1.0879E+00 -7.4935E-17 -3.6691E-15  0.0000E+00  0.0000E+00
  5.4500E-01  2.1483E-02  1.0649E+00  1.5879E-01  8.9491E+00  1.0730E+00 -2.5546E-18  8.5743E-14  0.0000E+00  0.0000E+00
  5.5000E-01  2.1680E-02  1.0651E+00  1.6006E-01  8.9489E+00  1.0581E+00  2.1118E-17 -5.8901E-14  0.0000E+00  0.0000E+00
  5.5500E-01  2.1877E-02  1.0654E+00  1.6132E-01  8.9487E+00  1.0430E+00 -3.0570E-17  2.8969E-16  0.0000E+00  0.0000E+00
  5.6000E-01  2.2074E-02  1.0657E+00  1.6260E-01  8.9485E+00  1.0278E+00 -8.9411E-18  2.4238E-14  0.0000E+00  0.0000E+00
  5.6500E-01  2.2271E-02  1.0660E+00  1.6381E-01  8.9483E+00  1.0129E+00  4.5131E-17  3.7081E-14  0.0000E+00  0.0000E+00
  5.7000E-01  2.2468E-02  1.0663E+00  1.6503E-01  8.9481E+00  9.9794E-01  6.8548E-17 -1.0526E-14  0.0000E+00  0.0000E+00
  5.7500E-01  2.2665E-02  1.0666E+00  1.6624E-01  8.9479E+00  9.8286E-01  2.0011E-17 -4.4519E-14  0.0000E+00  0.0000E+00
